,command_1,command_2,command_3,command_4,command_5,command_6,command_7,command_8,command_9,command_10,command_11,command_12,command_13,command_14,command_15,command_16,command_17,command_18,command_19,command_20
s_1,,,,,,,,,,,2.0,,,,,2.0,6.0,,,
s_2,,,,,,,,1.0,,3.0,,,,,,,2.0,,,
s_3,,,,,,,,,,,,12.0,,,,,,,,
s_4,,9.0,,,,,,,,,,,,3.0,,,,,,
s_5,,13.0,,,,,,10.0,,,,,,,,,,,5.0,
s_6,,,,,,,,,,,,10.0,,,2.0,,5.0,,,
s_7,,,,,,4.0,4.0,,3.0,8.0,,,,,,,,,,
s_8,,,,,,,,,,,,,,2.0,,,,,,
s_10,,,,,,,,,,2.0,,,,,,7.0,,,,
s_11,,,,,2.0,,,,,,,,,,,,,,,
s_12,,15.0,,2.0,6.0,,,2.0,,,,13.0,,,,,,,,
s_13,,,,,,,,12.0,,,,,8.0,6.0,,,11.0,,,
s_14,,,,,,,,,,,,,,,,,,,1.0,
s_15,,,,,,,,,,,,11.0,2.0,,,,,1.0,,
s_16,,,,1.0,7.0,2.0,3.0,,,,,1.0,14.0,,,,,,,
s_17,,,,,1.0,,,,,,,,,,,,,,,
s_18,,,,,,,,,,,,3.0,7.0,,,,,,,
s_19,,,,,,,,,,,,2.0,15.0,,,,,,,
s_20,,3.0,,5.0,,,,,,4.0,1.0,,,,7.0,,9.0,6.0,,
s_21,,10.0,,,,,,,2.0,,,,,,,,,5.0,,6.0
s_22,,6.0,,,,,,,1.0,1.0,,,,,,,,,,
s_23,,11.0,,,,,,,,,,,,,,,,,,
s_24,,14.0,,,3.0,,,,,,,8.0,,,,,,,,
s_25,,,,,,,,9.0,,,,,,,,,,,4.0,
s_26,,,,,,,,8.0,,7.0,,9.0,12.0,,5.0,6.0,13.0,2.0,,
s_27,,5.0,,,,,,5.0,,9.0,,,,,,4.0,,3.0,,
s_28,,,,,,,,,,,,,,,,,14.0,,,1.0
s_29,,,,,,,,,,,,,1.0,,,,,,,
s_30,,,,,,,,,,,,,,5.0,,,,,,
s_31,,,,,,,,,,,,16.0,,,,,3.0,,,
s_32,,,,,,,,,,,,6.0,10.0,,,,,,,
s_33,,1.0,,,,,,,,,,,,,,,,,,
s_34,,,,,8.0,,,,,,,,4.0,,,,18.0,,,
s_35,,2.0,,,,,,11.0,,,,,,,,,,,3.0,
s_37,,8.0,,,,,,,,,,,13.0,,,,10.0,,,3.0
s_38,,16.0,,,,,,,,,,14.0,5.0,,,,,,,4.0
s_39,,,,,,,,,,,5.0,,,,3.0,,7.0,,,
s_40,,,,,,,,,,,,,,4.0,,,4.0,,,
s_41,,,,,,,,,,,,,,,,,,,2.0,
s_42,,17.0,,,,,,4.0,,,3.0,7.0,9.0,8.0,4.0,,12.0,,,
s_43,,4.0,,,,1.0,2.0,,,6.0,,15.0,,,,5.0,15.0,7.0,,2.0
s_44,,,,,,,,,,,,,11.0,,,,,,,
s_46,,,,,4.0,,,,,5.0,4.0,,17.0,,,3.0,,4.0,,
s_47,,,,,,,,,,,,4.0,,,,,,,,
s_48,,,,,,,,7.0,,,,,,,,1.0,,,,
s_49,,,,,5.0,,,,,,,,,,,,1.0,,,
s_50,,12.0,,,,,,,,,,,,,,,,,,
s_51,,,,,,,,,,,,,,,,,,,,5.0
s_52,,,,3.0,,3.0,1.0,,,,,,,,,,,,,
s_53,,7.0,,4.0,,,,6.0,,,,5.0,6.0,9.0,,,8.0,,6.0,
s_54,,,,,,,,,,,,,3.0,,,,,,,
s_55,1.0,18.0,,,,,,,,,,,,,1.0,,16.0,,,
s_56,,,,,,,,,,,,,,1.0,8.0,,,,,
s_57,,,,,,,,,,,,,16.0,,,,,,,
s_58,,,,,,,,3.0,,,,,,7.0,,,,,,
s_59,,,,,,,,,,,,,,,6.0,,17.0,,,
s_9,,,,,,,,,,,,,,,,,,,,
s_45,,,,,,,,,,,,,,,,,,,,
s_36,,,,,,,,,,,,,,,,,,,,
